"","p.value","HR","Low 95%CI","High 95%CI"
"ABCB1",0.000291919335044837,0.833427025037075,0.755181229232732,0.91978001991372
"ULBP2",0.00834008961622868,1.1482394082266,1.03616671170223,1.27243398549118
"HMGB3",0.00194178669340626,1.26639486835123,1.09068445683104,1.47041241171255
"SHCBP1",0.00169377024171123,1.25771606260586,1.08995655369226,1.45129609870983
"TSPAN7",0.0041940632978999,0.855739130139817,0.769177150488616,0.952042658036926
"EFCAB12",0.00602082018010603,0.881223497144275,0.80519362877918,0.964432434837548
"FREM1",2.61951869763009e-06,0.820705811779461,0.755773854435951,0.89121636787935
"UBE2T",0.00976730559298675,1.2095490830291,1.04701429306225,1.39731519803573
"ITM2A",0.000469037933687785,0.820804097351628,0.734826661936612,0.916841210488545
"ANKRD29",0.00805718758581986,0.861783197526622,0.771990141683835,0.96202041896458
"CCDC74B",0.00435912046910036,0.891809804324691,0.82430003782571,0.964848587399686
"SDC1",0.0042605828714604,1.23756639347246,1.06927904749717,1.43233946446192
"IL33",0.000324133328893008,0.875301308826838,0.813999598906952,0.941219605344736
"CCR6",0.00561187712224757,0.842416487217256,0.74614825144866,0.951105275067833
"NPY1R",0.00346646613420386,0.928167800165985,0.88291570070808,0.975739206556256
"CCL19",1.21233048239632e-05,0.889983319683122,0.844709188552218,0.937684021967078
"STC2",0.00335206336994463,0.89509926771763,0.831216965210168,0.963891177156205
"PSCA",0.0047926744186362,1.09176202856991,1.02715091978064,1.16043738468505
"CHRDL1",0.00340629671339097,0.911804542758148,0.857165871553208,0.96992606890414
"CD24",0.00531087145774314,1.15079014215964,1.04257879300908,1.27023296480985
"ZNF385B",0.00149746265936126,0.8928949786257,0.832588795731493,0.957569267016781
"LEP",0.00181481321946148,0.909449618239152,0.856791490963313,0.965344096946401
"CLIC6",0.000604403730495043,0.899372141641063,0.846480102209783,0.955569123300634
"COL17A1",0.0016534606299776,0.916761340454972,0.868448734363039,0.967761621495393
